ABBEY,Monastery
PEROT,Ross of politics
PESCI,Joe of film
PETTY,Tom of rock
PIXIE,Dust or cut
POLLY,Holliday of Alice
POTTS,Pepper of Marvel
PRICE,Vincent of horror
PRYOR,Richard of comedy
PUCCI,Designer Emilio
RAITT,Bonnie of song
RAMBO,Sylvester Stallone role
RAMIS,Harold of Ghostbusters
RAOUL,Duke of Hunter S.
RAVEN,Symone of TV
REDDY,Helen of song
REEVE,Christopher as Superman
REGAN,Exorcist girl
REMUS,Uncle of stories
RHAME,Ving of film
RHETT,Butler of Gone
RHODA,Valerie Harper role
RICCI,Christina of film
RICKY,Martin or Nelson
RIGBY,Eleanor of song
RIGGS,Lethal Weapon hero
RILEY,The Life of TV
ROACH,Hal of comedy
RODEO,Drive in Beverly Hills
RODIN,The Thinker sculptor
ROGEN,Seth of comedy
ROMAN,Polanski or Holiday
ROMEO,Juliet's lover
RONNY,Howard or Cox
ROSIE,O'Donnell or Perez
ROUGE,Moulin ___
ROWAN,Atkinson as Bean
RUBIN,Producer Rick
RUFUS,Wainwright or Chaka
RUSSO,Renee or Anthony
RUSTY,Wallace of racing
SABIN,Polio vaccine creator
SADIE,Hawkins dance
SAGET,Bob of Full House
SAINT,Eva Marie of film
SAMMY,Davis Jr.
SANTA,Claus or Fe
SATIE,Composer Erik
SAVOY,Brown of blues
SCALA,La Opera House
SCOTT,Ridley or Adam
SEGAL,George or Jason
SEGEL,Jason of TV
SERRA,Sculptor Richard
SHADY,Slim ___
SHANE,Classic western film
SHAUN,The Sheep
SHAWN,Mendes or Wayans
SHEEN,Charlie or Martin
SHIRE,Talia of film
SHORE,Pauly or Dinah
SHORT,Martin of comedy
SILAS,Marner of books
SISSY,Spacek of film
SLADE,Merry Xmas band
SLOAN,The band or Mark
SMART,Maxwell of TV
SMITH,Will or Maggie
SMITS,Jimmy of TV
SMOKY,Robinson or Joe
SNAKE,Plissken of film
SONIA,Sotomayor of Court
SOREN,Kierkegaard
SORBO,Kevin as Hercules
SOUSA,March king John
SPADE,David or Sam
SPEED,Keanu Reeves film
SPELL,On you song
SPIKE,Lee or Jonze
STACY,Keach or London
STAGE,Theatrical platform
STARK,Tony or Sansa
STARS,Wars or Trek
STEED,John of Avengers
STEEL,Magnolias of film
STERN,Howard of radio
STING,The Police singer
STIPE,Michael of R.E.M.
STOCK,Market or options
STONE,Emma or Sharon
STORY,Toy ___
STRUM,Joe of The Clash
STUDS,Terkel of radio
SUGAR,Ray Robinson
SUMAC,Yma of song
SUPER,Mario or Bowl
SURAJ,Sharma of Pi
SWANK,Hilary of film
SWIFT,Taylor of pop
SYKES,Wanda of comedy
TAKAI,George of Trek
TALIA,Shire of film
TAMMY,Faye or Wynette
TANDY,Jessica of film
TANYA,Tucker of country
TASHA,Yar of Trek
TAXIS,Yellow cab group
TEDDY,Roosevelt or Pendergrass
TELMA,Hopkins of TV
TENOR,Pavarotti's range
TERRY,Gilliam or Bradshaw
TESSA,Thompson of Marvel
THARP,Twyla of dance
TIGER,Woods or King
TILDA,Swinton of film
TIMMY,Lassie's friend
TITAN,Ocean liner or moon
TITUS,Andronicus or TV
TOBEY,Maguire of Spiderman
TOBIN,Bell of Saw
TOKYO,Godzilla's target
TOMAS,Milian of film
TONYS,Broadway awards
TORME,Mel the Velvet Fog
TORRE,Joe of Yankees
TRAIN,Drops of Jupiter band
TRINA,Rapper of Miami
TROOP,Beverly Hills movie
TROUT,Mike of baseball
TRUDY,Mad Men wife
TRUMP,Donald of TV and more
TUCCI,Stanley of film
TUDOR,Dynasty of history
TULLY,House of Thrones
TUNES,Looney ___
TUNIE,Tamara of SVU
TURIN,Shroud city
TWAIN,Shania or Mark
TWEED,Boss of history
TYLER,The Creator
UNGER,Felix of Odd Couple
UPTON,Kate or Sinclair
URBAN,Keith or Legend
UTLEY,Chase of baseball
VANCE,Courtney B.
VARDA,Agnes of film
VEGAS,Sin City locale
VELMA,Scooby-Doo brain
VERDI,Aida composer
VERNE,Jules of fiction
VIDAL,Gore or Sassoon
VIGGO,Mortensen of Rings
VINCE,Vaughn or Gill
VINNY,My Cousin protagonist
VISTA,Windows or points
VOGUE,Madonna hit
VOICE,The singing show
VOTES,Electoral or cast
WAITS,Tom of song
WALES,Princess of
WALSH,Joe of the Eagles
WALTZ,Christoph of film
WATER,Boy of film
WATTS,Naomi or Charlie
WEISS,Houdini's birth name
WELCH,Raquel of film
WELLS,H.G. or Orson
CROSS,____word Puzzle
GRADS,We are soon to be
WENDY,Peter Pan's friend
WESTS,Kanye and Kim
WHALE,James of Frankenstein
WHEEL,Of Fortune
WILDE,Oscar or Olivia
FLIES,Lord of the _____
WILEY,British rapper
WILLA,Cather of books
WINGS,Paul McCartney band
WITCH,Of Oz or Blair
WYETH,Andrew of art
WYMAN,Jane of film
XEROX,Copier brand
YADDO,Artist retreat
YANKO,Weird Al
YANNI,New Age musician
YATES,Director David
YEATS,W.B. of poetry
YENTL,Barbra Streisand film
YODEL,Yahoo! sound
YOGIS,Bear or Berra
YORKE,Thom of Radiohead
YOUNG,Neil or Loretta
ZEISS,Lens brand
ZELLA,Day of pop
ZENDA,Prisoner of
ZEVON,Warren of song
ZIGGY,Stardust or comic
ZORBA,The Greek
